media_id,title,favorites,coins,views,danmakus,media_tags,score,cm_count
7,漫研部,48047,415,835586,5161,"['搞笑', '泡面', '日常', '校园']",8.7,112人评
17,网球并不可笑嘛 第一季,60614,1258,2185735,10890,"['萌系', '日常', '运动', '社团']",9.3,189人评
53,月刊少女野崎君,2049218,78630,11844129,255921,"['搞笑', '校园', '少女', '漫画改', '恋爱']",9.8,22808人评
59,青春之旅,871447,22029,5216083,219265,"['少女', '恋爱', '校园']",9.5,2735人评
84,荷包蛋的蛋黄什么时候戳破才好？,75508,2049,3171701,223090,"['搞笑', '日常', '美食']",9.2,371人评
92,每度！浦安铁筋家族,30552,8339,6473101,38222,"['搞笑', '日常', '泡面']",9.1,139人评
109,复仇者：世上最强英雄组合,102691,3706,2772183,90623,"['科幻', '热血']",9.6,490人评
110,犬神同学和猫山同学,100667,4511,2719175,27509,"['日常', '泡面', '治愈']",9.5,497人评
111,剑灵,88164,657,2761698,115735,['奇幻'],8.0,188人评
113,我们大家的河合庄,344466,5373,814298,17166,"['日常', '恋爱', '校园']",9.7,2358人评
157,游☆戏☆王 GX ,168614,3302,10171209,262868,"['热血', '奇幻', '校园', '战斗']",9.5,1347人评
162,罗德岛战记,33077,617,313904,6484,"['时泪', '奇幻', '神魔', '架空', '冒险']",9.6,162人评
170,众神的恶作剧,219455,3242,4856911,326607,"['乙女', '奇幻']",9.0,364人评
187,棺姬嘉依卡,223311,2536,4923125,182268,"['奇幻', '神魔', '架空', '冒险']",9.1,251人评
191,请问您今天要来点兔子吗？,1201772,44410,10271537,600732,"['萌系', '日常', '美食', '治愈', '萝莉']",9.6,4772人评
193,龙娘七七七埋藏的宝藏,389566,3099,528468,8553,"['奇幻', '日常', '推理']",9.1,1325人评
207,头文字D First Stage,286514,16391,10141529,383873,"['时泪', '运动', '热血']",9.8,2187人评
208,头文字D Second Stage,70772,4910,3238734,136922,"['时泪', '运动', '热血']",9.7,506人评
209,头文字D Third Stage,45119,2101,1553914,59329,['运动'],9.5,250人评
211,头文字D Fifth Stage,59555,3969,6319373,124411,"['时泪', '运动', '热血']",9.6,278人评
212,头文字D Final Stage,45760,4045,2660231,46621,"['时泪', '运动', '热血']",9.7,367人评
233,献给某飞行员的恋歌,81331,864,1671404,58151,"['科幻', '少女', '小说改', '架空']",8.7,281人评
238,姐姐来了,323504,7236,12342210,61588,['日常'],9.5,1125人评
239,银之匙 Silver Spoon 第一季,199865,6829,5046977,145840,"['日常', '校园', '热血', '美食', '社团']",9.8,2040人评
240,银之匙 Silver Spoon 第二季,94330,5431,3774123,83693,"['日常', '热血', '校园', '美食', '社团']",9.8,1641人评
241,GO!GO!575,32735,551,545726,8643,"['日常', '治愈']",9.3,119人评
249,农林,562271,19230,4240426,261618,"['萌系', '日常', '美食', '小说改', '偶像']",9.3,2990人评
253,世界征服 谋略之星,143437,2834,3489126,110750,"['萌系', '科幻']",9.1,644人评
257,稻荷恋之歌,345826,6102,5924752,220205,"['少女', '奇幻', '恋爱']",9.2,968人评
281,甘城光辉游乐园,1029547,52251,6192401,202631,"['日常', '奇幻', '励志', '职场']",9.6,7779人评
282,电器街的漫画店,267818,12180,9497957,264398,"['萌系', '搞笑', '日常', '治愈', '职场']",9.3,857人评
289,记录的地平线,623027,19290,10461089,364513,"['奇幻', '智斗', '架空', '穿越', '冒险']",9.6,2536人评
296,天体的秩序,337815,16518,6856876,364478,"['奇幻', '日常', '治愈', '萝莉']",9.3,1332人评
297,银仙,752981,25860,26564124,2850899,"['萌系', '搞笑', '日常', '治愈', '少女']",9.6,2209人评
311,我家浴缸的二三事,440252,13620,20603432,262099,"['日常', '泡面', '治愈']",9.5,1103人评
323,大图书馆的牧羊人,347270,11291,8211619,325937,['日常'],9.2,1031人评
324,我，要成为双马尾。,599972,27498,21145679,1123365,"['奇幻', '搞笑', '热血', '战斗']",9.0,2103人评
333,RWBY,630788,29351,18779946,335498,"['奇幻', '战斗', '架空']",9.7,2385人评
334,RWBY 第二季,244963,22518,11610119,312947,"['奇幻', '战斗']",9.7,1016人评
408,潜行吧！奈亚子 Remember My Love,289993,2348,3054708,9384,"['萌系', '奇幻']",9.4,206人评
419,斩服少女,840263,30980,4062286,116604,"['奇幻', '热血', '原创']",9.8,15385人评
425,某科学的超电磁炮,2994053,371881,51291444,4210171,"['校园', '战斗', '奇幻', '漫画改']",9.6,13995人评
426,某科学的超电磁炮 OVA,429622,21176,3544947,164591,"['校园', '战斗', '奇幻']",9.4,1439人评
427,某科学的超电磁炮S,1354555,203916,27946274,2468986,"['校园', '战斗', '奇幻']",9.6,8584人评
439,问题儿童都来自异世界？,1233376,45421,33417247,595791,"['奇幻', '战斗', '热血', '架空', '穿越', '冒险']",9.1,3899人评
442,锁锁美同学@提不起劲,247195,3329,547469,11961,"['奇幻', '日常']",9.4,956人评
443,黄金拼图,244116,3935,597263,30036,"['萌系', '日常', '治愈']",9.6,1248人评
444,魔王勇者,759466,9012,1432768,36274,"['奇幻', '少女', '声控', '神魔', '架空', '冒险']",9.5,4526人评
445,翠星之加尔刚蒂亚,164201,3489,1972897,46575,"['奇幻', '科幻', '机战', '原创']",9.3,707人评
451,恋爱研究所,499462,5976,1054829,28337,"['萌系', '日常']",9.6,3360人评
473,夜樱四重奏 花之歌,59985,2514,1754242,59579,['奇幻'],9.5,257人评
475,伽利略少女,58188,626,1336944,65248,['科幻'],8.6,169人评
476,武士弗拉明戈,73026,296,72613,3208,"['搞笑', '科幻', '热血', '偶像']",9.2,445人评
485,核爆默示录,103812,1556,2650955,105926,"['科幻', '冒险']",8.3,300人评
487,PHI·BRAIN 神之谜题 第一季,54772,787,1196557,51827,"['奇幻', '智斗', '推理']",9.3,117人评
497,机动战士高达SEED HD,231340,14500,6996932,272546,"['科幻', '机战']",9.5,2295人评
499,机动战士高达SEED Destiny HD,168797,8880,6132548,294483,"['科幻', '机战']",9.1,1924人评
500,第一神拳,29847,1722,1771602,56613,"['运动', '热血']",9.7,318人评
502,第一神拳 Rising,10744,547,708879,9661,"['运动', '热血']",9.8,144人评
514,玉响～hitotose～,89361,1360,431321,22702,"['日常', '治愈', '社团']",9.7,320人评
515,玉响～more aggressive～,28501,1671,407088,23414,"['日常', '治愈', '社团']",9.6,176人评
516,跟班×服务,161158,3950,1505549,194657,"['萌系', '搞笑', '日常', '声控', '职场']",9.6,886人评
519,现视研 二代目,38951,912,551316,86738,"['日常', '少女']",9.5,256人评
523,蔷薇少女 梦之终结,99679,1732,534082,15934,"['萌系', '奇幻']",9.5,501人评
526,战姬绝唱SYMPHOGEAR,135469,2173,745651,20250,"['科幻', '音乐', '热血', '原创']",9.6,671人评
528,八犬传-东方八犬异闻- 第一季,295230,4352,2280832,80856,['奇幻'],9.7,880人评
572,KARNEVAL狂欢节,257372,4892,2028335,107780,"['奇幻', '战斗', '声控', '架空']",9.6,714人评
580,写真女友,200777,5955,5427556,176063,"['日常', '声控', '游戏改']",9.0,514人评
582,王者天下,32067,1853,2074684,83531,"['历史', '热血', '智斗']",9.2,218人评
594,穿透幻影的太阳,84141,1234,670001,8602,['奇幻'],8.9,291人评
602,天使的水果糖,16584,393,141908,6091,"['日常', '泡面', '架空']",9.0,134人评
616,花牌情缘,325842,5857,2673437,84420,"['少女', '运动', '校园', '热血', '催泪', '恋爱', '社团', '励志']",9.7,1563人评
617,花牌情缘 第二季,100970,3415,1362954,51670,"['少女', '运动', '校园', '热血', '催泪', '社团', '励志']",9.7,942人评
621,南家三姐妹 再来一碗,103507,5308,2523317,105722,"['萌系', '搞笑', '日常']",8.9,712人评
623,南家三姐妹 我回来了,159465,8397,2760076,109112,"['萌系', '搞笑', '日常', '漫画改']",9.8,1275人评
628,Q弟侦探因幡,257923,8167,2343316,48068,"['萌系', '搞笑', '日常']",9.7,891人评
631,学生会的一己之见,411810,9763,1268043,24112,"['日常', '校园', '小说改']",9.7,2585人评
637,GJ部,452011,26159,4711144,207831,"['萌系', '搞笑', '日常', '校园']",9.7,3116人评
643,AKB0048 第一季,57752,1983,2284676,94090,"['科幻', '音乐', '热血', '偶像']",9.6,295人评
644,AKB0048 第二季,35184,1328,1962225,42649,"['科幻', '音乐', '热血', '偶像']",9.6,234人评
657,初音岛 S.S.,64244,539,169214,9756,['日常'],9.3,178人评
658,初音岛II,64805,670,260187,6342,"['日常', '游戏改']",8.9,138人评
678,宫河家的空腹,36271,912,780324,11618,"['萌系', '日常', '泡面', '治愈', '美食']",9.0,240人评
686,加速世界,831858,30228,12612583,726521,"['科幻', '校园', '战斗', '热血', '小说改']",8.8,3429人评
695,创圣的大天使,97488,733,908172,17309,"['科幻', '热血', '机战', '架空']",8.9,113人评
698,魔装少女就是本少爷 第二季,399142,6907,1025376,36241,"['奇幻', '魔法']",9.6,2408人评
703,人类衰退之后,207949,3261,815518,16948,"['科幻', '日常', '小说改']",9.7,1651人评
710,散华礼弥,922888,18773,2453830,139627,"['奇幻', '日常', '治愈']",9.4,5234人评
713,恋爱随意链接,540054,17411,1538448,126095,"['日常', '少女', '校园', '小说改', '治愈']",9.5,5724人评
723,猫物语（黑）,351551,1257,283942,4855,"['奇幻', '声控', '小说改', '神魔']",9.7,1206人评
728,食梦者。2,75710,4583,1544324,75386,"['日常', '热血', '励志', '职场', '漫画改']",9.7,944人评
729,食梦者。3,78472,6187,1523094,73985,"['日常', '热血', '励志', '职场', '漫画改']",9.8,1738人评
732,向阳素描×365,13795,231,35745,1237,"['萌系', '日常', '治愈']",9.7,147人评
733,向阳素描×☆☆☆,12838,179,27915,898,"['萌系', '日常', '治愈']",9.6,120人评
734,向阳素描×蜂窝,15307,173,28557,706,"['萌系', '日常', '治愈']",9.7,165人评
735,只要你说你爱我,385361,3321,1331489,59944,"['日常', '少女', '恋爱']",8.4,1030人评
741,武装神姬,135101,957,362452,7359,['热血'],9.4,305人评
752,TARI TARI,282487,6381,1114294,44618,"['日常', '音乐', '校园', '催泪', '原创', '励志']",9.6,1784人评
760,夏雪密会,96058,1870,1064598,59252,"['奇幻', '少女']",9.4,413人评
762,薄樱鬼 碧血录,78179,3270,2362985,127554,"['历史', '声控', '乙女']",9.2,171人评
767,魔力家族,125713,620,542264,7643,"['奇幻', '乙女', '游戏改']",8.5,227人评
779,Fate/Zero 第二季,1238284,114841,54684374,2940615,"['时泪', '奇幻', '战斗', '热血', '声控']",9.5,7988人评
780,坂道上的阿波罗,109525,1606,472787,18366,"['音乐', '治愈', '励志', '校园', '恋爱']",9.6,669人评
782,一起一起这里那里,557998,16321,2726767,46942,"['萌系', '日常', '治愈', '萝莉']",9.8,4008人评
791,交响诗篇 AO,27694,1476,1241704,60355,"['科幻', '热血', '催泪', '机战', '架空']",8.0,180人评
793,Upotte!!,50139,368,91024,3543,"['科幻', '热血']",8.7,181人评
795,战国Collection ,29740,1036,565958,34221,"['奇幻', '热血', '游戏改']",9.5,121人评
797,光明之心 ～幸福的面包～,52426,695,755405,42044,"['奇幻', '热血', '架空']",8.6,113人评
809,妖狐×仆SS,1176505,27647,11548670,444526,"['奇幻', '少女', '恋爱']",9.6,3156人评
814,在盛夏等待,322074,3347,606566,18029,"['科幻', '催泪', '恋爱', '原创']",9.2,1117人评
817,暴力宇宙海贼,34068,5181,1619265,75290,"['科幻', '战斗', '日常']",9.6,284人评
818,零之使魔,842611,6200,1919189,60259,"['奇幻', '日常', '战斗', '恋爱', '小说改', '架空', '穿越', '冒险']",9.3,2412人评
819,零之使魔 双月骑士,319297,59908,8529809,599875,"['奇幻', '战斗', '小说改', '架空', '穿越', '冒险']",9.2,1328人评
821,零之使魔F,283681,49073,14130545,531064,"['奇幻', '日常', '战斗', '小说改', '架空', '穿越', '冒险']",9.4,1513人评
825,BRAVE10 真田十勇士,64039,200,90113,1315,"['历史', '奇幻', '热血', '战斗']",8.6,131人评
827,足球骑士,21924,379,302394,5410,['运动'],9.0,134人评
835,我们仍未知道那天所看见的花的名字。,2913590,274453,29515759,2019108,"['日常', '治愈', '催泪', '原创']",9.5,16955人评
842,笨蛋，测验，召唤兽,1060189,43962,15590309,742270,"['奇幻', '校园', '恋爱', '小说改']",9.6,5038人评
843,笨蛋，测验，召唤兽2,459771,25443,4521096,138193,"['奇幻', '校园', '小说改']",9.7,3444人评
844,日常,1616534,27875,5006465,115972,"['萌系', '搞笑', '日常', '漫画改']",9.8,20324人评
845,花开伊吕波,568388,20088,4939986,374811,"['日常', '治愈', '催泪', '原创', '励志']",9.6,4036人评
846,电波女与青春男,730644,14485,2612582,70187,"['萌系', '日常', '小说改']",9.5,3457人评
856,GOSICK,1043158,7430,974761,26433,"['萌系', '奇幻', '日常', '催泪', '小说改', '推理', '萝莉']",9.7,10156人评
857,好想告诉你 第一季,622427,17977,7995428,647864,"['少女', '校园', '治愈', '催泪', '恋爱']",9.7,1964人评
862,丹特丽安的书架,285485,5707,819580,24050,"['奇幻', '治愈', '声控', '冒险']",9.7,2430人评
863,[C]THE MONEY OF SOUL AND POSSIBILITY CONTROL,424853,7302,3170774,60401,"['奇幻', '战斗', '智斗', '原创', '穿越']",9.2,1723人评
864,便·当,198408,6109,4134006,164303,"['热血', '战斗', '校园', '小说改']",9.4,1141人评
865,食梦者玛利,98267,510,155218,2562,['奇幻'],7.8,274人评
867,迷糊餐厅 WORKING’!!,181701,5622,1294657,41165,"['搞笑', '日常', '声控', '美食', '漫画改', '职场']",9.6,981人评
868,纯白交响曲,434001,27993,9683471,446236,"['日常', '游戏改']",9.3,1437人评
869,UN-GO  因果论 ,142869,2816,1537415,43767,"['奇幻', '智斗', '推理']",9.5,506人评
871,UN-GO episode: 0 因果论,18482,692,181002,7257,"['奇幻', '智斗']",9.7,115人评
876,最终流放-银翼之法姆-,22066,194,59796,1787,"['奇幻', '科幻', '热血', '架空']",8.4,122人评
877,全职猎人,493494,18457,13915991,612294,"['奇幻', '热血', '智斗', '战斗', '时泪', '架空', '冒险']",9.8,3779人评
879,猎人 剧场版 绯色的幻影,56963,1221,473791,18506,"['奇幻', '热血']",7.3,113人评
887,无口的森田小姐,43392,669,334741,5425,"['日常', '泡面']",9.5,160人评
888,无口的森田小姐 2,11592,669,334748,5425,"['日常', '泡面']",9.6,102人评
893,白兔糖,351253,12075,2591044,70446,"['日常', '治愈']",9.8,2702人评
894,白兔糖 特典,40190,1494,260082,2662,"['日常', '治愈']",9.7,401人评
897,神的记事本,641899,13038,4493806,149966,"['日常', '小说改', '推理']",9.2,2016人评
898,神样DOLLS,20693,353,180153,10018,"['奇幻', '日常']",8.8,118人评
899,滑头鬼之孙,497087,1275,320910,9961,"['奇幻', '战斗', '热血', '声控', '神魔']",9.3,1916人评
900,滑头鬼之孙 第二季,232834,931,275694,7425,"['奇幻', '战斗', '热血', '声控', '神魔']",9.5,1515人评
901,SACRED SEVEN,51820,635,1005617,72753,"['奇幻', '热血']",8.9,121人评
904,猫神八百万,108335,1266,257274,4396,"['萌系', '奇幻', '日常', '治愈']",9.5,323人评
919,架向星空之桥,358384,13471,3559529,217503,"['日常', '治愈']",8.8,979人评
921,玛莉亚†狂热 第二季,43177,1943,1465497,74007,"['搞笑', '日常']",9.5,331人评
929,战国鬼才传,8783,955,467865,35429,['历史'],9.7,141人评
947,LEVEL E,99815,2425,1276170,31902,"['奇幻', '科幻']",9.7,720人评
949,超元气三姐妹,257602,10106,1963645,61743,"['萌系', '搞笑', '日常', '治愈']",9.7,2231人评
951,放浪男孩,56743,1350,427947,16784,"['日常', '少女', '治愈']",9.5,328人评
953,分形世界,42340,460,199317,7315,['奇幻'],8.3,167人评
959,Angel Beats!,1421109,46759,5163113,213637,"['奇幻', '校园', '战斗', '催泪', '原创', '穿越']",9.7,12449人评
964,魔法禁书目录 第二季,1073805,108495,23962812,1712033,"['科幻', '校园', '战斗', '热血', '小说改']",8.9,4714人评
965,魔法禁书目录 剧场版,421834,34960,5343483,303269,"['科幻', '校园', '战斗', '热血']",8.9,1567人评
969,会长是女仆大人！,1326805,51926,9342401,335658,"['日常', '少女', '校园', '恋爱', '搞笑', '漫画改']",9.8,8926人评
981,大神与七位伙伴,326487,2026,328300,9566,"['奇幻', '热血', '社团']",9.4,1559人评
982,花丸幼稚园,283722,7440,1002037,39245,"['萌系', '日常', '治愈']",9.6,1442人评
984,传说中勇者的传说,438911,12370,5713328,146723,"['奇幻', '热血', '战斗', '架空', '冒险']",9.4,2270人评
992,女仆咖啡厅,56956,1556,832433,31057,"['搞笑', '少女', '治愈', '美食']",9.6,458人评
995,海月姬,41343,1103,378385,11723,"['搞笑', '日常', '治愈']",9.6,333人评
996,FORTUNE ARTERIAL -赤之约定-,211897,1290,243713,7226,"['奇幻', '日常', '游戏改']",9.2,641人评
1000,梦色蛋糕师,203079,7192,5985495,224246,"['少女', '美食', '奇幻', '日常']",9.7,1059人评
1004,钢铁侠,26110,413,710174,7578,"['科幻', '热血']",3.3,414人评
1015,王牌投手 振臂高挥,62304,1055,461132,11462,"['运动', '治愈', '热血', '声控', '智斗', '社团', '励志']",9.7,579人评
1016,王牌投手 振臂高挥～夏日大会篇～,23709,587,182081,4150,"['运动', '治愈', '热血', '声控', '智斗', '社团', '励志']",9.7,347人评
1020,逆转监督,44570,1417,881774,26011,['运动'],9.7,328人评
1040,交响情人梦 巴黎篇,33936,968,688722,24548,"['少女', '音乐']",9.7,196人评
1041,交响情人梦Finale,45648,1034,810039,21187,"['少女', '音乐']",9.7,283人评
1056,凉宫春日的忧郁 2006,265188,2642,485972,7492,"['时泪', '奇幻', '搞笑', '科幻', '日常', '校园', '小说改', '社团']",9.6,1641人评
1062,乃木坂春香的秘密,184627,1567,360629,12359,"['日常', '恋爱']",9.2,372人评
1064,DARKER THAN BLACK -黑之契约者-,1049276,25763,7248978,270159,"['奇幻', '科幻', '战斗', '热血', '催泪', '冒险']",9.7,5447人评
1065,DARKER THAN BLACK -流星的双子-,239473,10379,2193176,91238,"['奇幻', '科幻', '战斗', '热血', '催泪']",9.6,2627人评
1066,DARKER THAN BLACK -黑之契约者- 外传,160553,6395,1031165,29567,"['奇幻', '科幻', '战斗', '热血', '催泪']",9.7,1058人评
1071,狼与香辛料,801127,31645,5170113,194056,"['奇幻', '日常', '治愈', '小说改', '架空', '冒险']",9.8,6283人评
1073,潘朵拉之心,361061,7545,3347452,130246,"['奇幻', '神魔', '冒险']",9.6,1698人评
1078,白色相簿 上半篇章,522276,1550,488288,7595,"['日常', '游戏改', '恋爱']",9.3,1248人评
1080,东京地震8.0,139882,2932,931901,66702,"['日常', '催泪', '原创']",9.6,997人评
1089,钢之炼金术师 FULLMETAL ALCHEMIST,1541442,142448,30631282,845394,"['时泪', '奇幻', '战斗', '热血', '架空', '冒险']",9.9,50814人评
1090,钢之炼金术师 叹息之丘的圣星,163271,10168,1556288,27791,"['时泪', '奇幻', '战斗', '热血', '架空', '冒险']",8.8,728人评
1092,钢壳都市雷吉欧斯,274815,1006,441092,9795,"['科幻', '热血', '战斗', '架空']",8.3,579人评
1097,空罐少女,139465,2330,1046991,52155,['日常'],9.0,383人评
1102,黑神,66715,644,519837,13741,"['奇幻', '热血']",8.6,179人评
1106,脆莓公园 第一季,127129,3082,3822019,24901,"['搞笑', '日常']",9.6,531人评
1112,秀逗魔导士 第一季,63016,1760,1253895,4606,"['时泪', '奇幻', '热血', '魔法', '神魔', '架空', '冒险']",9.7,339人评
1117,仰望天空的少女瞳中的世界,31850,266,150115,4936,"['奇幻', '科幻', '治愈', '架空']",8.9,114人评
1118,源氏物语千年纪 Genji,119639,1388,1123872,39603,"['历史', '少女', '恋爱']",9.2,201人评
1123,阿拉德战记,88882,3965,1732279,103694,"['奇幻', '热血', '架空', '冒险']",9.7,1045人评
1127,战场上的女武神,73865,1429,847698,46762,"['奇幻', '少女', '热血']",8.7,270人评
1128,神曲奏界POLYPHONICA 第一季,106587,547,201989,2102,"['奇幻', '架空']",8.9,142人评
1133,天国少女,54559,825,740063,39654,['少女'],9.7,164人评
1136,夏之岚！ ～春夏冬中～,17175,122,39176,624,"['奇幻', '日常', '美食', '穿越']",9.4,101人评
1140,苍天航路,14992,399,305768,12650,"['历史', '热血']",9.1,100人评
1141,天堂餐馆,71380,1048,468641,17360,"['日常', '少女', '治愈', '美食']",9.6,244人评
1155,战斗司书,85126,792,876499,11446,"['奇幻', '科幻', '热血', '声控', '战斗']",9.1,173人评
1160,天体战士 第2期,4420,419,226955,11673,"['科幻', '热血']",9.7,141人评
1164,小鸠,173686,2846,676238,29784,"['萌系', '日常', '少女', '治愈', '催泪']",9.7,676人评
1166,轻声密语,60249,2796,687597,69757,"['日常', '校园']",9.7,526人评
1177,CLANNAD,1690876,63477,7869123,272651,"['时泪', '校园', '治愈', '催泪', '游戏改', '恋爱', '社团']",9.8,21017人评
1182,悠久之翼2,108095,4864,922312,45478,"['少女', '催泪', '校园', '恋爱']",9.7,1299人评
1189,超时空要塞 Frontier,151040,2866,2414684,86508,"['科幻', '热血', '机战', '偶像']",9.5,947人评
1192,机动战士高达00,232600,8488,4531142,99119,"['科幻', '热血', '机战']",9.6,1921人评
1193,机动战士高达00 第二季,132117,7322,4502965,140912,"['科幻', '热血', '机战']",9.7,1977人评
1196,图书馆战争,101345,1203,715023,24717,"['奇幻', '热血']",9.3,232人评
1201,食灵-零-,207983,1432,259804,5783,['战斗'],9.4,1334人评
1204,H2O 赤砂的印记,87608,424,80157,2526,"['少女', '治愈']",9.4,401人评
1210,深渊传说,82323,1161,860939,23410,"['奇幻', '热血', '战斗']",8.9,162人评
1211,吸血鬼骑士,299352,6154,5552910,238650,"['奇幻', '少女', '乙女', '神魔']",9.2,744人评
1219,再造人卡辛,25336,295,85523,1254,['科幻'],9.7,183人评
1220,伯爵与妖精,255344,1709,2209857,71263,"['奇幻', '少女']",8.9,329人评
1221,武装机甲,61851,714,999473,30536,"['科幻', '热血', '机战']",8.7,125人评
1223,虎子,18272,193,31948,1192,['日常'],9.4,100人评
1230,无限之住人,39634,454,319866,5667,"['历史', '热血']",9.1,100人评
1231,药师寺凉子的怪奇事件簿,62312,675,178478,3445,"['奇幻', '日常', '热血', '推理']",9.4,271人评
1233,Sends of Destruction,84889,635,392130,8072,"['奇幻', '热血', '架空', '冒险']",8.6,179人评
1238,海马,61136,1701,385269,14996,"['科幻', '少女']",9.8,694人评
1239,×××HOLiC,748540,13824,4249364,99562,"['奇幻', '日常']",9.8,3220人评
1246,二十面相少女,37976,523,279870,14045,"['奇幻', '热血']",9.4,121人评
1250,苍色骑士（中文）,67879,51,154431,342,"['奇幻', '科幻']",8.7,125人评
1251,骷髅13,17322,562,603774,26816,['热血'],9.6,124人评
1255,幻影少年,87861,684,317700,9431,['奇幻'],9.2,183人评
1262,Stories of Last Letter,142222,2862,890303,24695,"['奇幻', '治愈', '少女']",9.5,909人评
1271,精灵守护者,59906,2207,752670,36010,"['奇幻', '治愈', '热血']",9.8,533人评
1274,英雄时代,144880,6533,2486329,74718,"['科幻', '热血', '机战', '战斗']",9.7,1558人评
1279,青空下的约定,61260,467,382694,4289,['日常'],8.1,102人评
